,funding_entity,sum(mean_spend)
28636,Colette Campbell for Montana House District 67,4326.5
28637,Oregon Coalition of Police and Sheriffs,4325.5
28638,Turlock Associated Police Officers,4323.5
28639,Ian W. Sharples,4322.5
28640,"MIAMI DESIGN PRESERVATION LEAGUE, INC.",4321.5
28641,Town of Oro Valley,4320.5
28642,Committee to Elect Rachel Johnson,4318.5
28643,Jeff Landfield for State Senate,4318.5
28644,"Harjit Singh for YCUSD Board Trustee, 2020",4318.5
28645,Baca 2020,4317.5
28646,Elsherbini for Danville Town Council,4316.5
28647,Celina for Texas,4315.5
28648,Friends of Rande Worthen 2020,4315.5
28649,Yash Pandya for BOE,4313.5
28650,Dunnigan Volunteer Committee,4311.5
28651,"Elect Nelson J. Cantrelle, III Judge Second Parish Court, Division A",4310.5
28652,Jennifer Larsen for Freeholder,4310.5
28653,Ashton for East Portland,4310.5
28654,CENTRAL OREGON DISABLILITY SUPPORT NETWORK INC,4308.5
28655,Jay Wright Campaign,4308.5
28656,Ashley Felice for Chatham Township Committee,4308.5
28657,The Committee To Elect William McLaughlin,4307.5
28658,Pats4US LLC,4306.5
28659,Charles Edward Law,4306.5
28660,Putnam County Democratic Party,4306.5
28661,David Edward Anderson,4306.5
28662,Representative Andi Story,4306.5
28663,Fresno Teachers Association,4306.5
28664,Tom Foolery Podcast,4306.5
28665,Judd Schomp for District 27 Senate,4306.5
28666,Jodie Ann Wright,4306.5
28667,Frank C Plum Jr,4306.5
28668,Audrey Thayer for Bemidji City Council,4306.5
28669,Camille Denise Jamerson,4306.5
28670,Green City Times,4306.5
28671,Tyler Boden for City Council 2020 FPPC ID #1427736,4306.5
28672,Thomas Anthony Spence,4306.5
28673,Campaign to Elect Christina Eckert for Sate Representative,4306.5
28674,SET FREE MOVEMENT,4306.5
28675,"PREVENT CHILD ABUSE, VIRGINIA",4306.5
28676,FreedomFirst Entertainment ,4306.5
28677,Andres Iii Bocanegra,4306.5
28678,CTE Greg Alexander for State Representative,4306.5
28679,Amena Denine Johnson,4306.5
28680,Clint Mattingly For Bullitt County PVA ,4306.5
28681,CY FAIR FEDERATION OF TEACHERS,4306.5
28682,Friends of Gina Roberts,4306.5
28683,"Brent Lemond, Republican, for Nassau County Commisioner District 3",4306.5
28684,Friends of Timothy McLaughlin,4306.5
28685,Craig Aaron Hampton,4306.5
28686,Fager for Congress,4306.5
28687,David S Rozelle,4306.5
28688,FinePrint Data,4306.5
28689,Jeffery Phillips Saunders,4306.5
28690,Edward H Hastings,4306.5
28691,Tyler Richard Cobe,4306.5
28692,Better Spokane,4306.5
28693,UMBRELLA PAC,4306.5
28694,Committee to Re-Elect Patty Perry,4306.5
28695,Robert Phillip Martin,4306.5
28696,Gilbert for DHS Council 2020,4306.5
28697,Jerrett Wayne Einsporn,4306.5
28698,SoCalGas,4306.5
28699,Friends of Melissa Daub,4306.5
28700,Committee to elect Jackson for Jefferson County,4306.5
28701,MacIver Institute,4306.5
28702,Nina Grieco,4306.5
28703,Women's Earth and Climate Action Network (WECAN) International,4306.5
28704,Kent for WV,4306.5
28705,Small Town Podcast,4306.5
28706,State Representative District 118,4306.5
28707,Enoch Jay Marcum,4306.5
28708,The Climatized,4306.5
28709,David James Purpura,4306.5
28710,Citizens for Kathie Hansen,4306.5
28711,Seifert 4 Montana,4306.5
28712,Chowdhry Ahmed Ahmed,4306.5
28713,Cooper for Senate,4295.0
28714,Christian Marco Picciolini,4295.0
28715,CATALINA FOR CONGRESS COMMITTEE,4292.0
28716,Dale Menk for House 10A,4292.0
28717,Lisa Brittney Sanchez,4290.0
28718,Ill Intent Entertainment LLC,4288.0
28719,Joel Thomas Edwards,4288.0
28720,Ronald Scott Collins,4287.0
28721,Borough of Bergenfield,4285.0
28722,Erica For Derry,4284.0
28723,Bruce Alan Butler,4282.0
28724,Hatteras Island Republicans,4282.0
28725,ALLIANCE FOR A LIVABLE NEWPORT,4281.0
28726,Monique Williams Johns,4279.0
28727,Casa de Esperanza,4279.0
28728,Arvin Dabiri,4279.0
28729,StillUrPresident,4279.0
28730,CloutHub,4278.0
28731,MOBILE UNITED,4278.0
28732,Ellis 4 IPS,4277.0
28733,Jimmy Midyette for Clerk of Courts,4277.0
28734,Blue Cross and Blue Shield of Illinois,4275.0
28735,Committee to Elect Cervantez State's Attorney,4274.0
28736,Metro,4274.0
28737,Friends of Mark Hall,4273.0
28738,"Suzy Lord for Cutler Bay Council, Seat 2",4272.0
28739,Sita Burgess for EDH CSD Board 2020,4272.0
28740,"Mabelle Gummere for Arizona Legislature, District 10",4272.0
28741,Complete 2 Compete,4271.0
28742,The Committee to Invest in Montgomery's Future ,4270.0
28743,Save Family Farming,4268.0
28744,Summer A Anderson,4267.0
28745,C Suzan Bell 2019 State House Campaign,4267.0
28746,Citizens to Elect Rick Lantz,4266.0
28747,Derek Tyler Mobley,4266.0
28748,Eddie Coleman Parker,4266.0
28749,Cheryl Hadsall for County Commissioner,4265.0
28750,Craig Wise for Milam County Sheriff,4264.0
28751,Dana Goldman,4263.0
28752,Claire Cecilia Owens,4263.0
28753,Steven Elliot Dragisich,4263.0
28754,Stephanie Hope Graham,4263.0
28755,Dominick Battiato,4262.0
28756,Dan Devine for Supervisor,4261.0
28757,Maria For Wake,4261.0
28758,Spencer Kuzara for Sheridan City Council,4260.0
28759,Democra-tees.com,4260.0
28760,Karen Waite,4259.0
28761,Shannon Denise Grave,4259.0
28762,Judge Angela Z. Brown ,4258.0
28763,Katrina Smith for Maine House,4258.0
28764,Adelita E Cruz,4257.0
28765,Committee to Elect Joe Democko,4257.0
28766,Kerry John Bairski,4257.0
28767,Tyler Lee Hess,4257.0
28768,Friends of Pamela David,4257.0
28769,Don Hancock Beck,4257.0
28770,esby,4257.0
28771,NICOLAS BERGGRUEN INSTITUTE LLC,4257.0
28772,Bouchot for City Council 2022,4257.0
28773,"JACKSONVILLE PUBLIC EDUCATION FUND, INC.",4257.0
28774,Tamiaalexandra Mcclain,4257.0
28775,Daniel Duffy Marfield,4257.0
28776,Michael A Will,4257.0
28777,Dena Leann Dixon,4257.0
28778,Jeffrey Frank Price,4257.0
28779,Kathy Archer for CUSD,4257.0
28780,Kubitskey4sheriff,4257.0
28781,Committee to Elect Joe Posey,4257.0
28782,Sheila Marie Hatias,4257.0
28783,"Hawkins Campaign Fund; Diane Hawkins, Treasurer",4257.0
28784,Wingfield for Yuma County,4257.0
28785,Sandra Fortenberry Joiner,4257.0
28786,The Pennsylvania Youth Congress Foundation,4257.0
28787,Roach Show Podcast,4257.0
28788,Linda Beasley Kinne,4257.0
28789,The PULL Movement Inc,4257.0
28790,Orca Global Inc.,4257.0
28791,Gregory Stroud,4257.0
28792,Louis Roman Gregoire,4257.0
28793,Marine Fish Conservation Network,4257.0
28794,New Canaan Democratic Town Committee,4257.0
28795,Texas Residents Uniting for the Environment,4257.0
28796,Keegan for OPS,4257.0
28797,Thomas Enslow Flint,4257.0
28798,Stephen Cortney Maxwell,4257.0
28799,Jon Konrad Wert,4257.0
28800,Williams 2020,4257.0
28801,Get Outdoors Arizona,4257.0
28802,"COMMUNITY FOUNDATION OF MENDOCINO COUNTY, INC., THE",4257.0
28803,Karen Umberger for NH State Representative,4257.0
28804,Cheryl Youakim for State Representative ,4257.0
28805,Bsideu For Life,4257.0
28806,Friends of Marlena Martins Stachowiak,4257.0
28807,Reese Wood for Assembly,4257.0
28808,Conservative Louisiana,4257.0
28809,William G Maddox,4257.0
28810,Tamala Takahashi for City Council 2020,4257.0
28811,Juawn Antonio Jackson,4257.0
28812,Bryan Bates for Coconino County Supervisor,4257.0
28813,Terry Tyrone Wilson,4257.0
28814,Holden Luke Stephens,4257.0
28815,David  Arthur  Donley ,4257.0
28816,Scott Yelle for Wright County Comissioner ,4257.0
28817,Matthew Lynch Lynch,4257.0
28818,Terrence Demon Fannin,4257.0
28819,Jim Adams for Crystal Mayor,4257.0
28820,Friends of Alex Taubes,4257.0
28821,Merritt Matheson Campaign,4257.0
28822,The Marketing Agency,4257.0
28823,Re-Elect Trudy Berger,4257.0
28824,"McMurtry4PSC | PO Box 50005, Billings, MT 59105",4257.0
28825,Wesleyan University,4257.0
28826,Jacqueline Frances Branch,4257.0
28827,HASTINGS CABLE COMMUNITY ACCESS,4257.0
28828,Arlan for 47a,4257.0
28829,Stand For NJ,4257.0
28830,Kelli Nicole Gillis,4257.0
28831,e.Republic,4257.0
28832,Committee to Elect Michael Ramsey,4257.0
28833,Grosse Pointe Democratic Club,4257.0
28834,"INDIANA RECYCLING COALITION, INC.",4257.0
28835,Citizens for Sara Feigenholtz,4242.5
28836,AMY PHAN WEST FOR CONGRESS,4242.5
28837,Make Your Mark Design,4239.5
28838,Mercer County 2020 Census Committee,4238.5
28839,Megan Nicole Thompson,4237.5
28840,Thirteen Fifty Apparel ,4236.5
28841,America's Citizen Press,4235.5
28842,Herrick for 22B,4235.5
28843,Committee to Elect Rudy Fischer for Water Board - FPPC#1429884,4235.5
28844,Committee to Elect Mike Kowall,4233.5
28845,University of Wisconsin-Milwaukee,4233.5
28846,They Deserve More,4233.5
28847,Better Cupertino Action Committee,4232.5
28848,Nicholas Philip Nasibyan,4232.5
28849,Mike Moffett for NH,4232.5
28850,Durham For All,4231.5
28851,Citizens for Danley,4230.5
28852,The Hell Raisin Hippies,4229.5
28853,Agustin Quiles,4229.5
28854,City of Boston,4227.5
28855,Russ Owen 2020 Candidate for New Smyrna Beach Mayor.,4226.5
28856,Sally A Boccella,4226.5
28857,NORTH CRLINA FMLY PLICY CUNCIL,4222.5
28858,Vernola for Norwalk City Council 2020,4222.5
28859,Anthony Robert Kesich,4222.5
28860,RANDY HENDERSON FOR CONGRESS,4221.5
28861,Kylie Reising,4221.5
28862,"Emily For DeKalb, Inc.",4221.5
28863,Donna Laird Tompkins,4221.5
28864,"BOOT QUARTERS, LLC",4220.5
28865,Kotti For Senate,4219.5
28866,.josEpH THOMAS HARDESTY,4218.5
28867,National Center for Victims of Crime,4218.5
28868,Bayyari for Justice of the Peace,4217.5
28869,Meehlhause for Bemidji Mayor,4216.5
28870,Abraham Hamra,4216.5
28871,Tiffany Marie Mcfadden,4215.5
28872,Restaurant & Beverage Alliance of Texas,4215.5
28873,Clint bass for sheriff 2020,4214.5
28874,CHRIS EAGLE 4 CONGRESS,4212.5
28875,Kim Ross for School Board Committee,4212.5
28876,Carroll Payne for Maine House District 100,4212.5
28877,Michael J. McCaffrey for State Senate,4211.5
28878,Maria Victoria Reynolds,4211.5
28879,Committee to Elect Jeff Ward,4211.5
28880,Safety for Our Schools Floyd County,4209.5
28881,Michelle Myers Wall,4209.5
28882,Jordan Christopher Ridley,4208.5
28883,John Walter Thurow,4208.5
28884,Christopher Johnson,4207.5
28885,Bernards Township Democratic Committee,4207.5
28886,Carbon Down,4207.5
28887,Douglas B Osier,4207.5
28888,Stand Up Girl,4207.5
28889,COMMITTEE TO ELECT VOLPICELLI AND MENON,4207.5
28890,David Michael Robinson,4207.5
28891,Kenneth Gordon Alexander,4207.5
28892,Brooks,4207.5
28893,Amber Lynn Wood,4207.5
28894,New York City Housing Authority,4207.5
28895,William Loren Christofferson,4207.5
28896,Committee to Elect Matthew J Swanson,4207.5
28897,Louis Wsizeezeisamb Kemp Iii,4207.5
28898,Ronald Antione Rahking Rose,4207.5
28899,Ysmael Dismar Fonseca,4207.5
28900,Yes MV Schools Now,4207.5
28901,Reuben Dsilva,4207.5
28902,"APALACHEE CENTER, INC.",4207.5
28903,Monika For Schools Committee,4207.5
28904,Committee to elect Ben Kieckhefer ,4207.5
28905,Friends of Jackie Gunderson,4207.5
28906,"Politica CT, Inc",4207.5
28907,Andrew Nicholas LoFaro Campaign,4207.5
28908,"ANDERI ENTERPRISES, LLC",4207.5
28909,Secular Strategies,4207.5
28910,Thomas William Adsit,4207.5
28911,Jaishankar Srinivasan,4207.5
28912,PR (Proportional Representation) Party,4207.5
28913,Mitchel Vonzitwitz,4207.5
28914,Nancy Carol Depreo,4207.5
28915,3WEE Technologies,4207.5
28916,Aaron Michael Fox,4207.5
28917,Sydney Maurine Stone,4207.5
28918,"Lorena Perez McGill for Texas House of Representatives District 15 - Lou Barron, Treasurer",4207.5
28919,Re Elect Ricky Jones,4207.5
28920,John Stuart Edwards,4207.5
28921,Quinn Riess for Sheriff,4207.5
28922,Timothy John Burns,4207.5
28923,Johanna Duran Decker,4207.5
28924,Eddie Alexander Morgan,4207.5
28925,Ru Products,4207.5
28926,Austin Herring,4207.5
28927,Brittney Joyce for NH,4207.5
28928,Committee to Elect Stacy Killion for VCSC School Board,4207.5
28929,Committee to Elect Darlene Likens Commissioner,4207.5
28930,Republican Party of Kewaunee County,4207.5
28931,Elect Kyle Horton,4207.5
28932,Funmilola None Akinsanya,4207.5
28933,Mitchell Anthony Capital Management,4207.5
28934,Sandhills Cattle Association,4207.5
28935,"by LitLab, an Oakland based nonprofit focused on bridging inequities in early education",4207.5
28936,Elijah Luke Dean,4207.5
28937,Joseph Antonio Abeyta,4207.5
28938,Shauna M Geary,4207.5
28939,Tony Wu,4207.5
28940,"Kevin Chambliss for State Representative, District 117, Democrat",4207.5
28941,"Ward 1 Aldermen, City of Wood Dale, IL",4207.5
28942,Erin Mcbrier Hackley,4207.5
28943,Richard Gerald Levitski Iii,4207.5
28944,Friends of Annette Bertelsen for Buchanan County Public Administrator ,4207.5
28945,Glenn A Capman,4207.5
28946,Texas State Association of Fire Fighters,4196.0
28947,Skeels for Judge 2020,4196.0
28948,Becker Friedman Institute for Economics at the University of Chicago,4195.0
28949,Carol for Collin County,4193.0
28950,Eduardo Lara for City Council 2020 FPPC # 1422168,4193.0
28951,Advance OK PAC,4193.0
28952,Better Markets,4192.0
28953,Unitarian Universalist Church of Birmingham,4192.0
28954,"Amber Mariano, Republican, for State Representative District 36",4191.0
28955,NYC Mayor's Office of Immigrant Affairs,4191.0
28956,AFT Local 1521,4191.0
28957,Office of Congresswoman Sylvia Garcia,4191.0
28958,Friends of Tim Whelan,4190.0
28959,Advanced Power Alliance,4187.0
28960,Home Auto Deals,4187.0
28961,Lester Lawrence Lessig,4186.0
28962,Friends for Juan Elias,4186.0
28963,Ottawa County,4186.0
28964,TFY PAC,4184.0
28965,Rodney Allen Pyles,4182.0
28966,Steven James Adams,4180.0
28967,MAURICE OWEN-MICHAANE,4180.0
28968,Citizens for Danielle M Pascucci,4180.0
28969,SAVS - Sonoma Applied Village Services,4179.0
28970,MONTANA BUDGET AND POLICY CENTER,4179.0
28971,Covington Newton Chamber of Commerce,4179.0
28972,ALABAMA INSTITUTE FOR SOCIAL JUSTICE,4178.0
28973,Goodhue County DFL (Goodhue-21),4178.0
28974,Organized Karma,4178.0
28975,Jason for Office,4178.0
28976,The Hancock Democratic Town Committee,4177.0
28977,Committee to Elect Rick Warren Campaign ,4176.0
28978,"CHESAPEAKE, CITY OF",4173.0
28979,Gumbo PAC,4172.0
28980,WALTON COUNTY CHAMBER OF COMMERCE,4171.0
28981,Committee to Elect T. Kevan Bartlett,4170.0
28982,Committee to Elect John Fitzpatrick,4170.0
28983,Tpaul Frzetbetrzick Roberts,4170.0
28984,Mark Steven Daily,4169.0
28985,Campaign to elect Mike Cohen Pacifica City Council District 4 2020,4169.0
28986,Alexander Michael Tardif,4168.0
28987,Trigonas,4167.0
28988,Robert John Little,4167.0
28989,Christa E Fritz,4167.0
28990,Re-Elect Judge Montgomery,4167.0
28991,Alex DeGolia,4165.0
28992,Mike Barbanica for City Council 2020 - ID No. 1427041,4164.0
28993,Chesney for Illinois,4164.0
28994,California Federation of College Republicans,4163.0
28995,Friends of Jose Rea,4163.0
28996,Sandra Elaine Opatow,4162.0
28997,Drawdown Georgia,4162.0
28998,Erin Young for Summit County Commissioner,4162.0
28999,Peterson4Carefree,4162.0
29000,South River Watershed Alliance,4160.0
29001,Hunter For Mayor,4160.0
29002,Stevens for Kansas,4160.0
29003,Craig Michael Regan,4159.0
29004,Delaware County Conservatives,4159.0
29005,Good Trouble LLLP dba The Paper.,4159.0
29006,David F Norton,4159.0
29007,Kate Ann Cobb,4158.0
29008,Mike Price,4158.0
29009,Jeff Boddiford for Oviedo City Council,4158.0
29010,Saratoga County Libertarian Committee,4158.0
29011,Bergeson Campaign,4158.0
29012,David Stanley White,4158.0
29013,Jason Labin Rosensweig,4158.0
29014,Helen Chazal Leibee,4158.0
29015,Friends of Sara Walsh,4158.0
29016,Nicholas Jonathan La Strada,4158.0
29017,Owen Donohoe for Kansas State Representative,4158.0
29018,Eduardo Dieguez Batallan,4158.0
29019,Jeff Jensen for Larimer County Commissioner,4158.0
29020,Committee to Elect Sue Fisher,4158.0
29021,Maryland Right to Life,4158.0
29022,Joseph Wyatt Kinard,4158.0
29023,UNITED WAY OF OLMSTED COUNTY,4158.0
29024,Karen Sara Michael,4158.0
29025,Michael Utsumi for Dublin School Board 2020,4158.0
29026,write-in-prescott,4158.0
29027,"COMMITTEE TO ELECT LIZ JOHNSON, LLC",4158.0
29028,Jason Olen Taylor,4158.0
29029,Jill Underhill,4158.0
29030,Friends of Dennis P. Will,4158.0
29031,"Trickle-Down Socialism, the Podcast",4158.0
29032,David Sanford Post,4158.0
29033,Meghan Condon Odoherty,4158.0
29034,Ricardo Javier Negron Almodovar,4158.0
29035,Patrick for Sheriff,4158.0
29036,Omewale Shongo Nzinga Shabazz,4158.0
29037,Jeremy Dale Masterson,4158.0
29038,Favorable Disability Advocates,4158.0
29039,Jeffrey Clark Johnson,4158.0
29040,John Neville Brathwaite,4158.0
29041,Vote Stewart Hyland City Council,4158.0
29042,Willamette Falls Trust,4158.0
29043,Jill Macallister Fellow,4158.0
29044,Anna Viola Shaw Sullivan,4158.0
29045,Cecil Willis for Mayor of Stafford,4158.0
29046,Building Quality Communities,4158.0
29047,Patrick Collins for Cheyenne Mayor 2020,4158.0
29048,James Adames,4158.0
29049,Daniel William Kauffman,4158.0
29050,Vote for Joe Georgia,4158.0
29051,Friends of Lindsay James,4158.0
29052,Kasey Marie Harrod,4158.0
29053,Chippewa County Prosecutor's Office,4158.0
29054,Stephen Daniel Gagliardi,4158.0
29055,AJ Harris for Ohio,4158.0
29056,Kohler for City Council District 5 2020,4158.0
29057,Mark B Vondrasek,4158.0
29058,The Foundation for Ethnic Understanding,4158.0
29059,NC Strong,4158.0
29060,Merriwether for Supervisor,4158.0
29061,AUDREY MEYER-LAMPERT,4158.0
29062,Julie Ann Jackson,4158.0
29063,Scott D Lawrence,4158.0
29064,HSG Campaigns,4158.0
29065,OC Clean Power,4158.0
29066,Committee to Elect Monica Sparks,4146.5
29067,HABITAT FOR HUMANITY PORTLAND/METRO EAST,4144.5
29068,Jason Garner Young,4144.5
29069,Committee to Elect Nichole Mossalam,4143.5
29070,NONPROFIT VOTE,4143.5
29071,MAIN STREET PORTSMOUTH,4143.5
29072,Citizens for a safe Osceola,4141.5
29073,Blueprint Public Affairs,4140.5
29074,Armenian National Committee of America – Glendale Chapter,4139.5
29075,InsuranceNet,4138.5
29076,"Our Leon County Neighbors sponsored by Dude, Where's My Park?",4138.5
29077,Alabama Association of REALTORS,4137.5
29078,Reopen OC Now,4137.5
29079,Samuel Wyatt Craig,4136.5
29080,Planned Parenthood of Southwest and Central Florida,4135.5
29081,Committee to Elect Scott Willhite for Circuit Judge,4135.5
29082,Gary Forcier for Mayor,4134.5
29083,Partnership for Southern Equity,4132.5
29084,Illinois AFL-CIO,4129.5
29085,Common Good Virginia,4129.5
29086,Goodall for AD18 Democratic County Central Committee 2020,4129.5
29087,Jonathan Edward Anderson,4128.5
29088,Krista for CUSD,4128.5
29089,Ecochallenge.org,4127.5
29090,Howardt Spence,4126.5
29091,Justin Taylor Kenney,4124.5
29092,League of Women Voters of the Cincinnati Area Education Fund,4123.5
29093,Burbank Tenants’ Rights Committee,4122.5
29094,Neighbors for Ruben Navarro City Council District 6-2020,4121.5
29095,The Committee to Re-Elect Mary Kay Murphy,4121.5
29096,Harteshapes ,4120.5
29097,Friends of Trisha Tidd,4120.5
29098,Pike County Conservation District,4119.5
29099,Marissa Diane Prizgint,4119.5
29100,"KEVIN COOKE FOR CONGRESS, INC.",4116.5
29101,Committe to elect Linda Stouffer as Rose Township Clerk,4115.5
29102,Ortez for New Mexico,4114.5
29103,Michael Ehrmann Landauer,4114.5
29104,(People for) Shannon Davis-Roberts,4112.5
29105,Blount County Democratic Party,4112.5
29106,Will Start Small,4111.5
29107,Hendrik None Vat,4110.5
29108,Mary Kathleen Honne,4109.5
29109,Kelle A Sandy,4109.5
29110,Megan Mccabe Noonan,4108.5
29111,Tonya Denise Mcdaniel,4108.5
29112,Friends For Eva Dina Delgado,4108.5
29113,Everhart for West Virginia,4108.5
29114,John Valiant Boyd,4108.5
29115,FRIENDS OF ADRIAN,4108.5
29116,Samson for Walnut Creek City Council 2020,4108.5
29117,Justin Lee Burkart,4108.5
29118,Nagel for Coroner,4108.5
29119,Xiomelie Melissa Crisostomo,4108.5
29120,CR,4108.5
29121,Stacy Lynn Williams,4108.5
29122,Michelle Renee Clasen,4108.5
29123,Margaret Anne Staggers,4108.5
29124,SUTHERLAND INSTITUTE,4108.5
29125,Jason Lee Mcdonald,4108.5
29126,Kevin James Poorman,4108.5
29127,Friends of Summer Wesley,4108.5
29128,Matthew Alexander Mills,4108.5
29129,Dawnte for West Sac City Council 2020,4108.5
29130,City Council District 7,4108.5
29131,Think Things Through ,4108.5
29132,"PRESIDENTIAL DESIGNS, LLC.",4108.5
29133,Elect Bill Frankart,4108.5
29134,Roald Haakon Osmundson,4108.5
29135,Christopher Kent Chiang,4108.5
29136,Michael Kalagias for US,4108.5
29137,Michael E Adrieansen,4108.5
29138,Leslie Carol Hipp,4108.5
29139,Powers For The People,4108.5
29140,Sandoval for Mayor 2020,4108.5
29141,Meghan Erinn Winslow,4108.5
29142,Sean Paul Dugar,4108.5
29143,Steven Wade Slocum,4108.5
29144,Mark James Powell,4108.5
29145,Charles Dolson for Senate,4108.5
29146,Ally Remembered Foundation,4108.5
29147,CITIZEN LABS,4108.5
29148,Brendaleigh for the People ,4108.5
29149,LD9 Democrats,4108.5
29150,Adam Gray for Assembly 2020 FPPC ID 1414307,4108.5
29151,Bernard Alton Adonis Williams,4108.5
29152,"Paid for by Danny Kushmer, Republican, for State House, District 59",4108.5
29153,Luke Arkan Joseph,4108.5
29154,Committee to Elect Knowa Johnson,4108.5
29155,WICKER PARK LUTHERAN CHURCH,4108.5
29156,Grandmothers for Reproductive Rights,4108.5
29157,Matt MacPherson Campaign,4108.5
29158,Office of Wisconsin State Representative Dave Murphy,4093.0
29159,MARTER FOR CONGRESS,4089.0
29160,The A21 Campaign ,4089.0
29161,Geralyn T Simon,4087.0
29162,ASSOCIATION OF WASHINGTON BUSINESS,4087.0
29163,Committee to Elect Justice Cynthia Y. Cobbs,4086.0
29164,ExcelinEd,4085.0
29165,Friends of Cabrillo College 2020 – YES on R,4083.0
29166,Friends of Eric Davanzo,4082.0
29167,ZUFALL HEALTH CENTER INC.,4081.0
29168,Zack Bashirtash for PBVUSD,4081.0
29169,Jonathan Max Seal,4079.0
29170,Mike Fagg for Kansas State Senate,4079.0
29171,Bruce Sloan for Greenbrier County Sheriff,4079.0
29172,"Heartland America, Inc.",4078.0
29173,Rachael Jonrowe for Georgetown Campaign,4078.0
29174,Dennis Evans for Iowa House ,4078.0
29175,Community Action Association of NYS,4078.0
29176,Elect Elaine Campaign,4077.0
29177,Elect Lance Clow,4077.0
29178,Friends of Monica Gordon,4076.0
29179,Citizens for Stumpe,4076.0
29180,Jess Olson for SD Legislature,4075.0
29181,National Beer Wholesalers Association,4075.0
29182,Doug For PA,4074.0
29183,Kierstin Kimberly Schmitt,4070.0
29184,Maryland Matters,4070.0
29185,"Paid for by Diane Weinberg For Judge, Inc.",4070.0
29186,The Committee to Elect Sean Kesani,4069.0
29187,BETH DOGLIO FOR CONGRESS,4069.0
29188,GREAT MN SCHOOLS,4069.0
29189,Honolulu County Republican Party,4069.0
29190,Georgia Right to Life Political Action Committee,4068.0
29191,Elsie Arntzen for State Superintendent,4068.0
29192,Friends of Jeff Neff,4068.0
29193,Matthew Steven Vaca Sams,4067.0
29194,Bobby Martinez Olson,4065.0
29195,Steven Kirk Howe,4065.0
29196,Derrick Deon Tate,4064.0
29197,Reid For County Council,4064.0
29198,Kenya Kuykendoll Johnson,4063.0
29199,Paul for Idaho,4063.0
29200,Jake Lilly for District Attorney 2020,4063.0
29201,Melaninful,4063.0
29202,Gigi Gleason for Tri City Healthcare Board,4062.0
29203,Tom For 52,4062.0
29204,One Delaware,4061.0
29205,Luke Camara,4061.0
29206,Eric Nolan for Flagstaff City Council,4061.0
29207,Patricia Pfeiffer,4061.0
29208,The Lorna M. Johnson Global Institute,4060.0
29209,Councilwoman Yvonne Martinez Beltran,4060.0
29210,Jeremy Travis Bynum,4059.0
29211,Beth E Miller,4059.0
29212,JOHND-B FREEMAN,4059.0
29213,Clifford Wayne Baltzell,4059.0
29214,Jan Schakowsky for Congress,4059.0
29215,PAWS AND CLAWS POLITICAL ACTION COMMITTEE (PAC PAC),4059.0
29216,Peter LaFond for Falmouth Town Council,4059.0
29217,Citizens for Monroe County Library System ,4059.0
29218,Louis Lavorn Smith,4059.0
29219,The Pearlygate Network,4059.0
29220,Street Grace,4059.0
29221,Senator Bill Wielechowski,4059.0
29222,Mark Andrew Hutchins,4059.0
29223,Committee to Elect Darcy Berwick,4059.0
29224,Ben Beaulieu for Merrimac Selectman,4059.0
29225,"St. Joseph County, Indiana",4059.0
29226,Tarece Lynette Johnson,4059.0
29227,Bonafide Expressions,4059.0
29228,Sabrena Kent Combs,4059.0
29229,Monique Belli Beauchamp,4059.0
29230,Linda L Moncrief,4059.0
29231,Joseph David Basrawi,4059.0
29232,Ricky Lee Phillips,4059.0
29233,Free Of Ugly,4059.0
29234,Michael D Bordes Jr,4059.0
29235,Project 56,4059.0
29236,Scott David Lehmann,4059.0
29237,Thomas Owen Beetham,4059.0
29238,Letitia Plummer for Houston Campaign,4059.0
29239,"OMEGA INSTITUTE FOR HOLISTIC STUDIES, INC.",4059.0
29240,Sarah Zibanejadrad Beeson,4059.0
29241,BYK Digital,4059.0
29242,PawfectPaws LLC,4059.0
29243,Willow Women's Center,4059.0
29244,Joy Beverley Smith,4059.0
29245,David Matthew Lamp,4059.0
29246,Alliance for Community Services,4059.0
29247,Kristie L Miner,4059.0
29248,Catherine Faye Pyle,4059.0
29249,Kevin Lavern Rhoades,4059.0
29250,Enough - Plays to End Gun Violence,4059.0
29251,Committee to Re-Elect Judge Pam Ferguson,4059.0
29252,Terry Lamont Wilson,4059.0
29253,Phillip John Ford,4059.0
29254,Natalie Jean,4059.0
29255,Lizabeth Lynn Reyer,4059.0
29256,Paul Sablosky Rockower,4059.0
29257,Michaelanthony Jeffers,4059.0
29258,Robert Candon Coufal,4059.0
29259,Jared Heath Evans,4059.0
29260,Marko Law,4059.0
29261,Shawn Evan Bucher,4059.0
29262,Merk for Congress,4059.0
29263,TOXIC-FREE FUTURE,4059.0
29264,"The Psychology Group Fort Lauderdale, LLC",4059.0
29265,RobbieConalArt,4059.0
29266,Dakota Cohen,4045.5
29267,Abhinav None Banerjee,4042.5
29268,Hertzberg for Senate 2018,4042.5
29269,Katherine Schaefer Cleland,4040.5
29270,James Cosby,4040.5
29271,Phillip None Fisher,4039.5
29272,Committee to Elect Leroy Garcia,4039.5
29273,Eliel & Co Inc,4035.5
29274,Bradley Warren Abell,4033.5
29275,ELYSABETH BRITT FOR SENATE,4032.5
29276,AMANI 2020,4031.5
29277,Re-Elect Don Burnette Port Orange Mayor,4030.5
29278,Gerard Giudice for City Council 2020,4030.5
29279,Adam Charles Cline,4029.5
29280,Brian T Bright,4027.5
